,longitudres,latitudres,longtrabajo,latitudtrabajo,Duraciontraslado,sexo,Añonacimiento,Estrato,ecivil,Nveducativo,Afiliadosalud,Mobility,Sex
36,-74.196513,4.592327,-74.196513,4.592327,0,1,1965,2,4,9,2,8,Male
37,-74.196513,4.592327,-74.130712,4.663849,120,1,1969,2,2,1,4,5,Male
38,-74.196513,4.592327,-74.124225,4.591505,30,1,1988,2,2,3,1,5,Male
39,-74.196513,4.592327,-74.196513,4.592327,0,1,1965,2,2,1,2,5,Male
40,-74.196513,4.592327,-74.190784,4.606372,30,2,1997,2,5,4,1,6,Female
41,-74.196513,4.592327,-74.045802,4.747008,75,1,1963,2,2,2,1,6,Male
42,-74.196513,4.592327,-74.196513,4.592327,0,1,1987,3,2,2,4,6,Male
43,-74.196513,4.592327,-74.196513,4.592327,0,2,2000,2,5,2,5,5,Female
44,-74.196513,4.592327,-74.196513,4.592327,0,2,1967,2,2,2,1,6,Female
45,-74.196513,4.592327,-74.13343,4.68183,45,2,1977,3,5,8,1,3,Female
46,-74.205321,4.581582,-74.045255,4.761959,110,2,1959,3,3,5,2,4,Female
47,-74.205321,4.581582,-74.096099,4.633507,75,1,1982,3,2,3,2,7,Male
48,-74.205321,4.581582,-74.198855,4.581007,5,2,1995,3,5,5,2,5,Female
49,-74.205321,4.581582,-74.205321,4.581582,0,1,1973,3,2,1,2,5,Male
50,-74.205321,4.581582,-74.205321,4.581582,0,2,1954,3,1,2,4,4,Female
51,-74.205321,4.581582,-74.205321,4.581582,0,1,1942,3,1,9,2,5,Male
52,-74.205321,4.581582,-74.205321,4.581582,0,1,1990,3,1,5,1,5,Male
53,-74.205321,4.581582,-74.110048,4.580869,120,2,1984,3,5,5,1,5,Female
54,-74.205321,4.581582,-74.205321,4.581582,0,1,1952,3,1,3,4,4,Male
55,-74.205321,4.581582,-74.205321,4.581582,0,1,1978,3,2,2,4,5,Male
56,-74.205321,4.581582,-74.17464,4.577347,40,1,1990,3,5,7,1,6,Male
57,-74.102999,4.748039,-74.102999,4.748039,0,2,1973,3,3,3,1,6,Female
58,-74.102999,4.748039,-74.102999,4.748039,1,1,1972,3,1,3,5,3,Male
59,-74.102999,4.748039,-74.102999,4.748039,90,1,1995,3,5,3,1,6,Male
60,-74.102999,4.748039,-74.102999,4.748039,0,2,1953,3,4,2,2,7,Female
61,-74.102999,4.748039,-74.102999,4.748039,0,1,1943,3,4,2,2,6,Male
62,-74.102999,4.748039,-74.102999,4.748039,0,1,1993,3,5,6,5,4,Male
63,-74.102999,4.748039,-74.102999,4.748039,60,1,1998,3,5,3,4,8,Male
64,-74.102999,4.748039,-74.102999,4.748039,0,1,1950,3,1,2,2,6,Male
65,-74.102999,4.748039,-74.102999,4.748039,0,1,1963,3,1,2,5,8,Male
66,-74.102999,4.748039,-74.102999,4.748039,75,2,1999,3,5,6,1,9,Female
67,-74.102999,4.748039,-74.102999,4.748039,45,1,1973,3,5,5,1,7,Male
68,-74.102999,4.748039,-74.102999,4.748039,0,2,1998,3,5,3,5,7,Female
69,-74.102999,4.748039,-74.102999,4.748039,60,1,1973,3,3,4,1,6,Male
70,-74.102999,4.748039,-74.102999,4.748039,40,2,1991,3,5,5,1,7,Female
71,-74.102999,4.748039,-74.06159,4.634584,45,2,1995,3,5,5,1,6,Female
72,-74.102999,4.748039,-74.029278,4.763609,40,2,1993,3,5,6,1,5,Female
73,-74.102999,4.748039,-74.102999,4.748039,0,2,2000,3,5,2,4,7,Female
74,-74.102999,4.748039,-74.113719,4.653862,75,1,1994,3,2,3,1,7,Male
75,-74.102999,4.748039,-74.152015,4.675221,75,2,1966,3,1,3,1,5,Female
76,-74.102999,4.748039,-74.118857,4.698275,45,2,1988,3,5,5,4,5,Female
77,-74.107565,4.756255,-74.065996,4.633439,75,2,1962,4,1,3,1,6,Female
78,-74.107565,4.756255,-74.076383,4.620451,60,1,1982,3,3,3,2,6,Male
79,-74.107565,4.756255,-74.107565,4.756255,0,1,1988,4,3,2,1,8,Male
80,-74.107565,4.756255,-74.107565,4.756255,40,2,1985,4,2,2,1,7,Female
81,-74.107565,4.756255,-74.107565,4.756255,0,1,1996,3,3,3,1,7,Male
82,-74.107565,4.756255,-74.107565,4.756255,0,1,1964,4,3,2,2,4,Male
83,-74.107565,4.756255,-74.103043,4.586727,120,2,1994,3,5,3,4,8,Female
84,-74.107565,4.756255,-74.11168,4.70846,30,2,1963,3,3,3,4,7,Female
85,-74.107565,4.756255,-74.107565,4.756255,0,1,1952,4,2,2,1,7,Male
86,-74.088903,4.71931,-74.07945,4.635807,60,1,1987,2,1,3,1,5,Male
87,-74.088903,4.71931,-74.074807,4.692259,40,2,1965,2,5,1,2,8,Female
88,-74.088903,4.71931,-74.088903,4.71931,0,1,1983,2,2,1,5,6,Male
89,-74.088903,4.71931,-74.088903,4.71931,0,1,1985,2,2,3,1,6,Male
90,-74.088903,4.71931,-74.088903,4.71931,0,1,1979,2,1,1,1,6,Male
91,-74.088903,4.71931,-74.088903,4.71931,30,2,1986,2,2,5,5,5,Female
92,-74.088903,4.71931,-74.088903,4.71931,0,2,1993,2,5,7,1,8,Female
93,-74.088903,4.71931,-74.088903,4.71931,90,1,1990,2,2,5,5,5,Male
94,-74.088903,4.71931,-74.088903,4.71931,0,1,1977,2,1,4,5,5,Male
95,-74.088903,4.71931,-74.088903,4.71931,0,1,1986,2,1,4,1,5,Male
96,-74.075541,4.705381,-74.075541,4.705381,0,1,1996,4,5,6,5,6,Male
97,-74.075541,4.705381,-74.075541,4.705381,0,1,1970,4,1,3,5,5,Male
98,-74.075541,4.705381,-74.075541,4.705381,70,2,1967,4,1,3,1,6,Female
99,-74.075541,4.705381,-74.075541,4.705381,0,1,1958,4,4,2,5,6,Male
100,-74.075541,4.705381,-74.075541,4.705381,0,1,1993,4,5,6,5,5,Male
101,-74.075541,4.705381,-74.075541,4.705381,70,1,1979,4,2,7,1,6,Male
102,-74.075541,4.705381,-74.075541,4.705381,0,1,1996,4,5,6,5,6,Male
103,-74.075541,4.705381,-74.075541,4.705381,5,1,1965,4,1,3,5,5,Male
104,-74.075541,4.705381,-74.075541,4.705381,70,2,1986,4,2,5,1,5,Female
105,-74.075541,4.705381,-74.075541,4.705381,20,2,1965,4,1,3,1,6,Female
106,-74.075541,4.705381,-74.075541,4.705381,60,1,1968,4,3,3,1,5,Male
107,-74.075541,4.705381,-74.075541,4.705381,40,2,1984,4,1,3,1,7,Female
108,-74.075541,4.705381,-74.113719,4.653862,60,2,1995,4,5,6,4,6,Female
109,-74.075541,4.705381,-74.075541,4.705381,0,1,1948,4,4,3,3,5,Male
110,-74.075541,4.705381,-74.075541,4.705381,10,1,1985,4,5,7,1,4,Male
111,-74.075541,4.705381,-74.075541,4.705381,60,1,1994,4,5,4,4,5,Male
112,-74.075541,4.705381,-74.075541,4.705381,75,2,1972,4,1,5,1,5,Female
113,-74.075541,4.705381,-74.075541,4.705381,45,1,1980,4,2,7,1,5,Male
114,-74.104567,4.491723,-74.104567,4.491723,0,1,1947,1,2,1,1,8,Male
115,-74.104567,4.491723,-74.104567,4.491723,0,1,1953,1,4,1,1,6,Male
116,-74.104567,4.491723,-74.104567,4.491723,75,2,1973,1,2,3,1,5,Female
117,-74.104567,4.491723,-74.104567,4.491723,75,2,1973,1,2,3,1,6,Female
118,-74.104567,4.491723,-74.104567,4.491723,20,1,1956,1,1,3,1,5,Male
119,-74.104567,4.491723,-74.107952,4.506367,20,1,1956,1,1,3,1,5,Male
120,-74.104567,4.491723,-74.10858,4.504919,15,2,1991,1,2,5,5,6,Female
121,-74.104567,4.491723,-74.10858,4.504919,15,2,1991,1,2,5,5,6,Female
122,-74.104567,4.491723,-74.102227,4.494024,15,1,1959,1,1,1,2,7,Male
123,-74.104567,4.491723,-74.102227,4.494024,15,1,1959,1,1,1,2,6,Male
124,-74.104567,4.491723,-74.070245,4.611238,90,1,1995,1,2,5,2,4,Male
125,-74.104567,4.491723,-74.070245,4.611238,90,1,1995,1,2,5,2,6,Male
126,-74.104567,4.491723,-74.104567,4.491723,0,1,1961,1,5,1,4,4,Male
127,-74.104567,4.491723,-74.104567,4.491723,40,1,2001,1,5,2,4,4,Male
128,-74.104567,4.491723,-74.104567,4.491723,40,1,2001,1,5,2,4,5,Male
129,-74.104567,4.491723,-74.104567,4.491723,0,1,1998,1,5,5,2,5,Male
130,-74.104567,4.491723,-74.104567,4.491723,0,1,1998,1,5,5,2,5,Male
131,-74.104567,4.491723,-74.031194,4.695458,120,1,1965,1,5,2,2,5,Male
132,-74.104567,4.491723,-74.031194,4.695458,120,1,1965,1,5,2,2,7,Male
133,-74.104567,4.491723,-74.104567,4.491723,0,1,1954,1,1,1,2,7,Male
134,-74.104567,4.491723,-74.104567,4.491723,120,2,1982,2,5,5,3,6,Female
135,-74.079213,4.499291,-74.079213,4.499291,0,1,1965,1,2,2,2,7,Male
136,-74.079213,4.499291,-74.079213,4.499291,0,2,1956,1,4,1,2,5,Female
137,-74.079213,4.499291,-74.079213,4.499291,30,2,1974,1,1,3,2,5,Female
138,-74.079213,4.499291,-74.079213,4.499291,90,2,1986,1,2,1,2,5,Female
139,-74.079213,4.499291,-74.211746,4.582723,60,2,1985,1,2,2,2,7,Female
140,-74.079213,4.499291,-74.101973,4.499176,20,1,1984,1,5,2,2,7,Male
141,-74.079213,4.499291,-74.079213,4.499291,0,1,1943,1,4,1,1,5,Male
142,-74.079213,4.499291,-74.079213,4.499291,120,1,1965,1,2,1,1,5,Male
143,-74.079213,4.499291,-74.079213,4.499291,60,2,1994,1,1,3,2,5,Female
144,-74.079213,4.499291,-74.079213,4.499291,30,1,1989,1,5,2,1,6,Male
145,-74.079213,4.499291,-74.12473,4.576219,30,1,1975,1,2,3,2,6,Male
146,-74.079213,4.499291,-74.079213,4.499291,0,1,1998,1,5,2,4,5,Male
147,-74.079213,4.499291,-74.079213,4.499291,15,2,1973,1,1,1,2,6,Female
148,-74.079213,4.499291,-74.079213,4.499291,20,1,1970,1,1,3,2,5,Male
149,-74.079213,4.499291,-74.079213,4.499291,30,1,1985,1,1,2,2,6,Male
150,-74.079213,4.499291,-74.101973,4.499176,20,1,1993,1,5,3,1,7,Male
151,-74.079213,4.499291,-74.110488,4.578436,40,2,1985,1,1,2,2,5,Female
152,-74.079213,4.499291,-74.101973,4.499176,20,1,1963,1,2,1,2,6,Male
153,-74.079213,4.499291,-74.134636,4.703125,50,1,1985,1,2,2,2,6,Male
154,-74.079213,4.499291,-74.105589,4.487033,35,1,1990,1,5,3,2,5,Male
155,-74.102227,4.494024,-74.102227,4.494024,0,1,1995,1,2,3,1,5,Male
156,-74.102227,4.494024,-74.102227,4.494024,5,1,1952,1,1,1,2,5,Male
157,-74.102227,4.494024,-74.102227,4.494024,0,1,1980,1,1,1,2,5,Male
158,-74.102227,4.494024,-74.102227,4.494024,0,1,1994,1,2,5,1,5,Male
159,-74.102227,4.494024,-74.102227,4.494024,0,1,1996,1,5,4,5,5,Male
160,-74.102227,4.494024,-74.102227,4.494024,0,2,2001,1,5,2,4,6,Female
161,-74.102227,4.494024,-74.102227,4.494024,0,1,1999,1,5,2,5,6,Male
162,-74.102227,4.494024,-74.102227,4.494024,0,1,1984,2,2,3,2,6,Male
163,-74.102227,4.494024,-74.102227,4.494024,15,2,1991,1,2,3,1,6,Female
164,-74.102227,4.494024,-74.102227,4.494024,0,1,1987,1,2,1,2,4,Male
165,-74.102227,4.494024,-74.102227,4.494024,0,1,1965,1,1,1,2,4,Male
166,-74.102227,4.494024,-74.102227,4.494024,0,2,1998,1,5,4,2,5,Female
167,-74.102227,4.494024,-74.102227,4.494024,120,1,1972,1,2,1,1,5,Male
168,-74.084352,4.685618,-74.102227,4.494024,65,1,1968,3,2,5,1,7,Male
169,-74.084352,4.685618,-74.102227,4.494024,90,1,1980,3,5,1,5,5,Male
170,-74.084352,4.685618,-74.102227,4.494024,35,2,1958,3,5,3,1,5,Female
171,-74.084352,4.685618,-74.102227,4.494024,85,2,1977,3,2,2,1,4,Female
172,-74.084352,4.685618,-74.102227,4.494024,90,2,1987,3,2,3,3,7,Female
173,-74.084352,4.685618,-74.053761,4.675006,60,1,1967,3,2,5,1,6,Male
174,-74.084352,4.685618,-74.152015,4.675221,90,1,1988,3,2,5,1,6,Male
175,-74.084352,4.685618,-74.179089,4.627146,80,2,1990,3,2,5,1,6,Female
176,-74.084352,4.685618,-74.077377,4.645855,60,2,1981,3,2,5,1,6,Female
177,-74.084352,4.685618,-74.143828,4.605918,96,1,1978,3,1,7,1,7,Male
178,-74.084352,4.685618,-74.070245,4.611238,50,2,1978,3,3,4,1,7,Female
179,-74.084352,4.685618,-74.101239,4.737823,80,2,1970,3,5,1,5,6,Female
180,-74.084352,4.685618,-74.144655,4.698252,60,1,1979,3,2,7,1,6,Male
181,-74.084352,4.685618,-74.033684,4.764963,100,2,1968,3,2,6,1,8,Female
182,-74.084352,4.685618,-74.120326,4.623466,90,1,1979,3,2,7,1,6,Male
183,-74.084352,4.685618,-74.063059,4.664541,70,1,1988,3,3,6,1,6,Male
184,-74.084352,4.685618,-74.137209,4.587089,70,2,1980,3,1,6,1,6,Female
185,-74.084352,4.685618,-74.067465,4.60232,70,1,1986,3,2,3,1,6,Male
186,-74.084352,4.685618,-74.118857,4.713257,15,1,1980,3,2,3,1,6,Male
187,-74.084352,4.685618,-74.072956,4.618777,90,1,1989,3,5,1,5,6,Male
188,-74.084352,4.685618,-74.148585,4.532249,80,1,1970,3,2,3,1,6,Male
189,-74.084352,4.685618,-74.069644,4.599665,90,2,1976,3,1,2,1,7,Female
190,-74.084352,4.685618,-74.10858,4.585817,85,2,1989,3,2,6,1,5,Female
191,-74.084352,4.685618,-74.025973,4.733244,80,2,1972,3,3,2,2,5,Female
192,-74.084352,4.685618,-74.185047,4.62832,70,2,1974,3,2,3,1,5,Female
193,-74.084352,4.685618,-74.117389,4.669539,90,2,1983,3,5,5,1,5,Female
194,-74.084352,4.685618,-74.149377,4.690203,40,2,1980,3,2,3,1,5,Female
195,-74.084352,4.685618,-74.09058,4.726402,70,1,1980,3,1,6,1,4,Male
196,-74.084352,4.685618,-74.091471,4.559199,70,1,1981,2,2,5,1,4,Male
197,-74.084352,4.685618,-74.06672,4.639174,70,1,1977,2,5,2,1,5,Male
198,-74.084352,4.685618,-74.079785,4.62383,60,2,1973,3,2,7,1,4,Female
199,-74.084352,4.685618,-74.117389,4.669539,80,2,1978,2,2,6,5,5,Female
200,-74.084352,4.685618,-74.091471,4.559199,75,2,1970,3,2,2,1,6,Female
201,-74.084352,4.685618,-74.154014,4.580233,90,1,1982,3,2,7,1,8,Male
202,-74.084352,4.685618,-74.113719,4.653862,20,1,1970,3,1,5,1,5,Male
203,-74.084352,4.685618,-74.063022,4.649707,80,1,1976,6,1,5,2,5,Male
204,-74.084352,4.685618,-74.17785,4.635767,60,2,1968,3,5,5,1,4,Female
205,-74.084352,4.685618,-74.108415,4.59437,50,1,1962,3,2,3,1,4,Male
206,-74.084352,4.685618,-74.094134,4.570005,110,2,1975,3,2,6,1,4,Female
207,-74.084352,4.685618,-74.052778,4.663056,90,2,1970,3,5,3,5,5,Female
208,-74.403791,4.850202,-74.351783,4.804655,29,2,1968,3,1,6,1,5,Female
209,-74.403791,4.850202,-74.363081,4.817693,14,1,1990,2,3,5,5,7,Male
210,-74.403791,4.850202,-74.348816,4.808243,18,2,1959,1,2,3,1,6,Female
211,-74.403791,4.850202,-74.35438,4.811478,27,2,1987,2,2,5,1,5,Female
212,-74.403791,4.850202,-74.354009,4.809984,19,2,1973,2,2,1,2,5,Female
213,-74.403791,4.850202,-74.348816,4.808243,20,1,1969,3,3,3,2,4,Male
214,-74.403791,4.850202,-74.354009,4.809984,39,1,1968,3,5,6,1,4,Male
215,-74.403791,4.850202,-74.354009,4.809984,20,2,1990,1,5,1,1,4,Female
216,-74.403791,4.850202,-74.117389,4.669539,19,2,1991,3,5,4,2,4,Female
217,-74.403791,4.850202,-74.358656,4.820391,36,2,1983,2,1,6,1,6,Female
218,-74.403791,4.850202,-74.354009,4.809984,20,2,1984,3,1,7,1,6,Female
219,-74.403791,4.850202,-74.354009,4.809984,25,1,1980,2,2,2,1,7,Male
220,-74.403791,4.850202,-74.354009,4.809984,18,1,1979,2,3,3,1,5,Male
221,-74.403791,4.850202,-74.148473,4.63113,22,2,1972,2,5,6,1,5,Female
222,-74.403791,4.850202,-74.367518,4.819924,15,2,1983,2,4,5,5,5,Female
223,-74.403791,4.850202,-74.354009,4.809984,30,2,1982,2,3,6,1,5,Female
224,-74.403791,4.850202,-74.36543,4.818793,32,1,1971,3,5,7,1,5,Male
225,-74.403791,4.850202,-74.354009,4.809984,20,2,1957,2,3,2,2,5,Female
226,-74.403791,4.850202,-74.103975,4.624772,40,2,1987,2,1,6,1,5,Female
227,-74.403791,4.850202,-74.354009,4.809984,23,2,1984,2,5,2,5,5,Female
228,-74.403791,4.850202,-74.35021,4.819994,15,1,1969,2,1,2,5,5,Male
229,-74.403791,4.850202,-74.060121,4.705645,18,1,1990,2,2,5,1,5,Male
230,-74.403791,4.850202,-74.403791,4.850202,40,2,1990,2,5,2,5,5,Female
231,-74.403791,4.850202,-74.403791,4.850202,39,1,1980,3,3,1,5,5,Male
232,-74.403791,4.850202,-74.403791,4.850202,15,2,1987,3,2,3,2,6,Female
233,-74.403791,4.850202,-74.403791,4.850202,29,2,1977,3,1,2,1,6,Female
234,-74.403791,4.850202,-74.403791,4.850202,15,1,1980,2,2,4,5,6,Male
235,-74.403791,4.850202,-74.403791,4.850202,10,1,1959,2,2,1,2,6,Male
236,-74.403791,4.850202,-74.403791,4.850202,26,1,1982,1,4,2,5,6,Male
237,-74.403791,4.850202,-74.403791,4.850202,11,1,1978,2,1,6,1,7,Male
238,-74.403791,4.850202,-74.403791,4.850202,20,1,1955,1,4,1,2,6,Male
239,-74.403791,4.850202,-74.403791,4.850202,20,2,1978,2,2,2,5,7,Female
240,-74.403791,4.850202,-74.403791,4.850202,32,1,1986,2,5,3,1,7,Male
241,-74.403791,4.850202,-74.403791,4.850202,17,1,1973,1,1,6,1,6,Male
242,-74.403791,4.850202,-74.403791,4.850202,31,1,1988,2,5,3,1,6,Male
243,-74.403791,4.850202,-74.403791,4.850202,10,2,1990,1,2,5,1,6,Female
244,-74.403791,4.850202,-74.403791,4.850202,13,2,1984,2,1,3,1,6,Female
245,-74.403791,4.850202,-74.403791,4.850202,20,1,1970,2,2,5,1,6,Male
246,-74.403791,4.850202,-74.403791,4.850202,26,1,1979,2,2,5,1,4,Male
247,-74.403791,4.850202,-74.403791,4.850202,29,1,1989,2,2,6,5,5,Male
248,-74.403791,4.850202,-74.403791,4.850202,32,1,1970,2,4,2,2,5,Male
249,-74.403791,4.850202,-74.403791,4.850202,20,1,1970,1,5,6,5,4,Male
250,-74.403791,4.850202,-74.403791,4.850202,10,2,1975,2,5,3,2,5,Female
251,-74.403791,4.850202,-74.403791,4.850202,15,2,1978,3,2,5,1,4,Female
252,-74.403791,4.850202,-74.403791,4.850202,10,2,1960,1,1,3,1,4,Female
253,-74.403791,4.850202,-74.403791,4.850202,20,1,1980,1,2,7,1,4,Male
254,-74.403791,4.850202,-74.403791,4.850202,11,2,1976,2,2,6,1,5,Female
255,-74.403791,4.850202,-74.403791,4.850202,20,1,1989,2,2,5,1,5,Male
256,-74.403791,4.850202,-74.403791,4.850202,20,2,1970,2,3,1,1,5,Female
257,-74.403791,4.850202,-74.403791,4.850202,40,1,1970,3,2,7,1,4,Male
258,-74.403791,4.850202,-74.403791,4.850202,20,1,1968,1,5,7,1,6,Male
259,-74.403791,4.850202,-74.403791,4.850202,36,1,1983,2,3,7,1,5,Male
260,-74.403791,4.850202,-74.403791,4.850202,10,2,1990,2,5,5,1,4,Female
261,-74.403791,4.850202,-74.403791,4.850202,25,2,1960,2,4,1,2,4,Female
262,-74.403791,4.850202,-74.403791,4.850202,40,1,1981,1,4,5,1,4,Male
263,-74.403791,4.850202,-74.403791,4.850202,20,1,1979,1,5,3,1,8,Male
264,-74.403791,4.850202,-74.403791,4.850202,39,2,1981,2,1,5,1,4,Female
265,-74.403791,4.850202,-74.403791,4.850202,20,1,1970,2,2,5,1,4,Male
266,-74.403791,4.850202,-74.403791,4.850202,25,1,1982,2,2,5,1,5,Male
267,-74.403791,4.850202,-74.403791,4.850202,25,1,1989,2,5,6,5,5,Male
268,-74.403791,4.850202,-74.403791,4.850202,15,2,1970,1,5,6,5,6,Female
269,-74.403791,4.850202,-74.403791,4.850202,37,1,1977,3,2,7,5,9,Male
270,-74.144655,4.698252,-74.144655,4.698252,40,1,1991,3,3,5,5,5,Male
271,-74.144655,4.698252,-74.144655,4.698252,26,2,1976,3,2,5,1,6,Female
272,-74.144655,4.698252,-74.144655,4.698252,26,1,1980,3,5,6,1,8,Male
273,-74.144655,4.698252,-74.144655,4.698252,90,2,1982,3,5,4,2,6,Female
274,-74.144655,4.698252,-74.144655,4.698252,60,2,1990,3,1,6,1,6,Female
275,-74.144655,4.698252,-74.144655,4.698252,25,1,1978,3,3,3,1,5,Male
276,-74.144655,4.698252,-74.144655,4.698252,29,1,1987,3,5,7,1,5,Male
277,-74.144655,4.698252,-74.144655,4.698252,31,2,1978,3,1,6,1,7,Female
278,-74.144655,4.698252,-74.144655,4.698252,0,2,1987,1,5,2,5,7,Female
279,-74.144655,4.698252,-74.144655,4.698252,18,1,1974,3,2,5,1,7,Male
280,-74.144655,4.698252,-74.144655,4.698252,0,2,1971,1,5,2,5,7,Female
281,-74.144655,4.698252,-74.144655,4.698252,16,1,1990,3,1,6,1,6,Male
282,-74.144655,4.698252,-74.144655,4.698252,20,1,1976,3,5,3,1,6,Male
283,-74.144655,4.698252,-74.144655,4.698252,22,1,1989,3,5,3,1,6,Male
284,-74.144655,4.698252,-74.144655,4.698252,21,2,1975,3,1,3,1,7,Female
285,-74.144655,4.698252,-74.144655,4.698252,20,1,1970,2,4,2,2,4,Male
286,-74.144655,4.698252,-74.144655,4.698252,20,2,1977,3,2,6,1,4,Female
287,-74.144655,4.698252,-74.144655,4.698252,70,1,1974,3,3,7,1,5,Male
288,-74.144655,4.698252,-74.144655,4.698252,70,2,1969,3,1,5,1,4,Female
289,-74.144655,4.698252,-74.144655,4.698252,70,1,1979,3,5,6,5,4,Male
290,-74.117389,4.669539,-74.117389,4.669539,70,1,1980,3,3,5,5,4,Male
291,-74.117389,4.669539,-74.117389,4.669539,60,2,1970,3,2,5,1,5,Female
292,-74.117389,4.669539,-74.117389,4.669539,90,1,1985,3,5,6,1,7,Male
293,-74.117389,4.669539,-74.117389,4.669539,90,2,1955,3,5,4,2,7,Female
294,-74.117389,4.669539,-74.117389,4.669539,60,2,1958,3,1,6,1,7,Female
295,-74.117389,4.669539,-74.117389,4.669539,0,1,1976,3,3,3,1,5,Male
296,-74.117389,4.669539,-74.117389,4.669539,50,1,1969,3,5,7,1,5,Male
297,-74.117389,4.669539,-74.117389,4.669539,20,2,1982,3,1,6,1,6,Female
298,-74.117389,4.669539,-74.117389,4.669539,0,2,1956,1,5,2,5,7,Female
299,-74.117389,4.669539,-74.117389,4.669539,18,1,1970,3,2,5,1,6,Male
300,-74.117389,4.669539,-74.117389,4.669539,16,1,1973,3,1,6,1,6,Male
301,-74.117389,4.669539,-74.117389,4.669539,10,1,1988,3,5,3,1,6,Male
302,-74.117389,4.669539,-74.117389,4.669539,35,1,1987,3,5,3,1,7,Male
303,-74.117389,4.669539,-74.117389,4.669539,80,2,1976,3,1,3,1,4,Female
304,-74.117389,4.669539,-74.117389,4.669539,70,1,1967,3,3,7,1,5,Male
305,-74.115921,4.664515,-74.115921,4.664515,80,2,1988,3,5,6,1,4,Female
306,-74.115921,4.664515,-74.115921,4.664515,0,2,1966,1,5,2,5,5,Female
307,-74.115921,4.664515,-74.115921,4.664515,0,2,1986,3,2,3,2,5,Female
308,-74.115921,4.664515,-74.115921,4.664515,20,1,1962,2,4,2,2,4,Male
309,-74.115921,4.664515,-74.115921,4.664515,20,2,1978,3,2,6,1,4,Female
310,-74.115921,4.664515,-74.115921,4.664515,70,2,1969,3,1,5,1,4,Female
311,-74.115921,4.664515,-74.115921,4.664515,70,1,1996,3,5,6,5,5,Male
312,-74.167301,4.643243,-74.167301,4.643243,65,1,1976,3,2,5,1,10,Male
313,-74.167301,4.643243,-74.167301,4.643243,90,1,1980,3,5,1,5,7,Male
314,-74.167301,4.643243,-74.167301,4.643243,85,2,1989,3,2,2,1,6,Female
